Sentence,Sentiment,cleaned_Sentence,Encoded_Sentiment,Sentiment_Polarity_Cleaned,Sentiment_Label_Cleaned,Sentiment_Label_Encoded
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steers inc shares representing share capital voting rights,1,0.0,neutral,1
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,staff recruited japan complement network close service locations countries worldwide,2,0.0,neutral,1
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM Kymmene down 0.80 pct at 18.64 eur and M real B 0.18 pct lower at 5.57 eur .",neutral,paper companies negative territories stora enso r shedding pct eur upm kymmene pct eur real b pct lower eur,1,-0.04999999999999999,negative,0
Kauko Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,kauko telko centralized administration dissolved appropriate parts transferred operating activities group administration end year,1,0.5,positive,2
Operating profit for the quarter April June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,operating profit quarter april june amounted eur sales eur bn,1,0.0,neutral,1
Atria chose the DeLight to attract consumers in the 25 45 age group to its Atria Fresh range of microwaveable meals .,neutral,atria chose delight attract consumers age group atria fresh range microwaveable meals,1,0.3,positive,2
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,finnish solutions provider affecto oyj hel afev said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,1,0.0,neutral,1
US sanctions put Gazprom Shell alliance plans in jeopardy,negative,us sanctions put gazprom shell alliance plans jeopardy,0,0.0,neutral,1
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,profit period eur mn eur mn,1,0.0,neutral,1
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,profit period eur mn eur mn,2,0.0,neutral,1
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,operating profit fell eur mn eur mn second quarter,1,0.0,neutral,1
"However , sales returned to growth in April June 2010 , CEO Pekka Eloholma said .",positive,however sales returned growth april june ceo pekka eloholma said,2,0.0,neutral,1
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,operating profit totaled eur mn net sales,1,0.0,neutral,1
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,0,0.0,neutral,1
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,connection deal digia employ persons nokia oslo silicon valley usa,1,0.0,neutral,1
"The Brazilian unit of Finnish security solutions provider F Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,brazilian unit finnish security solutions provider f secure signed new clients last year online news source reseller web quoted division commercial director vladimir brando saying,2,0.1340909090909091,positive,2
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,fair value company investment properties went eur billion end eur billion year earlier,1,0.35,positive,2
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,dealers said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volumes tanker rates,0,-0.19285714285714284,negative,0
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,testament quality lte solution commitment japanese market added,1,0.0,neutral,1
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,companies aim finalize negotiations sign contracts start october,1,0.0,neutral,1
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,metso foundries jyvaskyla oy discontinue production line september company said,1,0.0,neutral,1
"A total six of the polled analysts rated M real    two gave `` buy ''   `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,total six polled analysts rated real two gave buy accumulate three gave hold one gave sell,1,0.1,positive,2
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A S for up to EUR23 .9 m in a combination of cash and stock .",positive,september finnish group agreed buy danish company rose poultry eur combination cash stock,2,0.6,positive,2
$YANG Double bottom 5.2,positive,yang double bottom,2,0.0,neutral,1
Tesco share price down as grocer faces SFO investigation outcome,negative,tesco share price grocer faces sfo investigation outcome,0,0.0,neutral,1
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news becoming bullish,2,0.45,positive,2
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,gs engineering install valves liquefied natural gas lng plant built uae lng extraction gas plants operator gasco ruwais uae,1,0.1,positive,2
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,percentages shares voting rights calculated proportion total number shares registered trade register total number voting rights related,1,0.0,neutral,1
"M Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,real said grounds rumors circulating market months,1,0.2,positive,2
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old age pensions on favorable conditions .",neutral,lember said matter topical also estonia bill drafted social affairs ministry would scrap old age pensions favorable conditions,1,0.044444444444444446,positive,2
  Moody 's said it gave P A1 long term senior unsecured and P P 1 short term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium term note EMTN program of 25 March 2011 .,neutral,moody said gave p long term senior unsecured p p short term debt ratings finnish lender aktia bank eurbn usd bn euro medium term note emtn program march,1,-0.025,negative,0
$TSLA recall,negative,tsla recall,0,0.0,neutral,1
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,liquidity providing interrupted may aspocomp group oyj shares traded cent aspocomp stock exchange release,1,0.0,neutral,1
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,hargreaves lansdown bucks weak markets see assets rise percent,2,-0.375,negative,0
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,pm omx helsinki index pct lower,0,0.0,neutral,1
"The decision means temporary lay offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,decision means temporary lay offs fixed duration company nastola jyvaskyla units southern central finland respectively,1,0.025,positive,2
The value of the orders is over EUR 10mn .,neutral,value orders eur mn,1,0.0,neutral,1
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,ms laakso responsible hkscan hr functions development group smarket areas,1,0.2,positive,2
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,fiskars also engaged global supply marine energy equipment solutions services associated company wartsila corporation,1,0.0,neutral,1
Aberdeen Asset Management Gains Foothold In China,positive,aberdeen asset management gains foothold china,2,0.0,neutral,1
Finland 's dominating rail company VR is planning to set the infected passengers for long distance trip in a separate carriage .,neutral,finland dominating rail company vr planning set infected passengers long distance trip separate carriage,1,-0.05,negative,0
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,november finnish government decreased ownership company percent percent,1,-0.4,negative,0
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased second quarter eur mn eur mn corresponding period,1,-0.1,negative,0
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high quality tools that will be sold under the DiaPol brand .",neutral,bavelloni nst joint ventures bavelloni tools completes semiproducts produced italy high quality tools sold diapol brand,1,0.16,positive,2
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,tool patent pending design allows consumers lay entire project removable plate using multiple clear stamps kind,1,0.175,positive,2
$GOOGL is a short below 740 into the upper BB and is overbought,negative,googl short upper bb overbought,0,0.0,neutral,1
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,lights curfew curl latest bestseller treat eyes perfect reading light luceplan,1,0.6333333333333333,positive,2
"UPM Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19 percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,upm kymmene corp world largest maker magazine paper tuesday reported percent profit drop lower paper prices higher costs strong euro hurt revenue,0,0.3416666666666667,positive,2
The total value of the contract is some EUR 8 million .,neutral,total value contract eur million,1,0.0,neutral,1
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,prerequisite inclusion program receipt gains key employees acquire aspo shares amount determined board advance maximum,1,0.0,neutral,1
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,mr doring eaton since acted business unit manager eaton power controls business unit since january,1,0.0,neutral,1
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capitals,2,0.0,neutral,1
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,financial statement first quarter tikkurila reported discontinued operations,1,0.125,positive,2
"The world 's second largest stainless steel maker said net profit in the three month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second largest stainless steel maker said net profit three month period dec surged euro million us million euro us per share euro million euro per share previous year,2,0.008333333333333338,positive,2
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424 KOLNP 2008 ADate of filing of Application : 16 06 2008Publication Date : 30/01/2009",neutral,name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication kolnp adate filing application publication date,1,0.0,neutral,1
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,netflix grows efforts create loyal customers nflx,2,0.3333333333333333,positive,2
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,omx nordic omxn index comprising traded nordic stocks nasdaq omx exchange closed points thursday,0,-0.1,negative,0
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,aapl nibbling small long via buying min charts,2,-0.15,negative,0
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,operating margin aker yards cruise ferries division went first quarter,0,0.25,positive,2
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,tyc break new highs lots technicals looking great right,2,0.40735930735930737,positive,2
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year long sabbatical starting from October 1 , 2010 .",neutral,eero katajavuori currently group vice president human resources take year long sabbatical starting october,1,-0.0125,negative,0
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,whats lulu numbers looked good great good think conference call instill confidence,1,0.7333333333333334,positive,2
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,adjustment measures carried phases secure delivery capability,1,0.4,positive,2
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,alma media corporation press release march tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local papers tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipalities bought suomen paikallissanomat oy,1,0.0,neutral,1
"Temporary lay offs , affecting the entire workforce , will also be implemented .",negative,temporary lay offs affecting entire workforce also implemented,0,0.0,neutral,1
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,meeting media analysts held day stonesoft headquarters helsinki italahdenkatu interim report presented stonesoft ceo ilkka hiidenheimo,1,0.0,neutral,1
"Finnish Sampo Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,finnish sampo rosenlew manufactures approximately seven forest machines monthly half machines exported,1,-0.2833333333333333,negative,0
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,facebook near buy point last week faces different technical test today fb aapl nflx,2,0.025,positive,2
"4 February 2011   Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,february finnish broadband data communication systems provider teleste oyj hel tltv said wednesday net profit rocketed eur eur lifted dividend proposal,2,0.0,neutral,1
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,free ha heeeeeere comes pump glad picked k end day get ready bull ride,2,0.3666666666666667,positive,2
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,finnish technology group aspocomp group oyj omx helsinki acgv issued third quarter report thursday november posting operating profit eur compared loss eur third quarter,2,0.0,neutral,1
"The building complex consists of high quality office and retail space totalling 49,200 square metres , the company said .",neutral,building complex consists high quality office retail space totalling square metres company said,1,-0.06999999999999999,negative,0
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,finnish insurance company fennia kesko group ending loyal customer cooperation,1,0.3333333333333333,positive,2
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,unit planned operational second half full stream,1,0.06111111111111111,positive,2
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,itg share deal estimated euro,1,0.0,neutral,1
The plant is expected to enter commercial operation by mid 2009 .,neutral,plant expected enter commercial operation mid,1,-0.03333333333333333,negative,0
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,aspo also investigated sales opportunities kaukomarkkinat electronics business,1,0.0,neutral,1
BG Group appoints new CEO one month early,neutral,bg group appoints new ceo one month early,1,0.11818181818181818,positive,2
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,acquisition immediate positive impact aspocomp financial result,2,0.11363636363636363,positive,2
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,finnair passenger load factor measures number sold seats share available seats dropped percentage points september,0,0.4,positive,2
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,rt bman lng looks primed also eght poised run,2,0.0,neutral,1
It is also 7.7 pct above the 12 month volume weighted average price of the stock .,positive,also pct month volume weighted average price stock,2,-0.15,negative,0
Coke dividend   3%. Google dividend   0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,coke dividend google dividend passive income coke takes goog ko,1,0.0,neutral,1
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,profit taxes eur mn eur mn year earlier,2,0.0,neutral,1
The subsidiary is setting up a facility for manufacturing high density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,subsidiary setting facility manufacturing high density interconnection printed circuit boards pcbs nokia special economic zone sriperumbudur near chennai,1,0.20428571428571426,positive,2
